window_start,Q_in,COD_in,NH4_in,TN_in,TP_in,MLSS,DO,NO3,Temperature,Q_air,NH4_load,COD_load,HRT,COD_in_mean_1h,COD_in_std_1h,COD_in_mean_3h,COD_in_std_3h,COD_in_mean_6h,COD_in_std_6h,NH4_in_mean_1h,NH4_in_std_1h,NH4_in_mean_3h,NH4_in_std_3h,NH4_in_mean_6h,NH4_in_std_6h,TN_in_mean_1h,TN_in_std_1h,TN_in_mean_3h,TN_in_std_3h,TN_in_mean_6h,TN_in_std_6h,COD_in_delayed,NH4_in_delayed,TN_in_delayed,hour_sin,hour_cos,dow_sin,dow_cos
2026-03-10 01:50:00,1003.6736000000001,236.493,16.77,49.45,4.354,4924.4220000000005,1.287,8.7635,15.419,1723.8922499999999,16.831606272000002,237.3617806848,6.0,209.8563333333333,13.049248356386913,207.19266666666667,9.227212002188597,207.19266666666667,9.227212002188597,16.77,0.0,16.660999999999998,0.2129878357602104,16.660999999999998,0.2129878357602104,46.98916666666667,1.923996924806969,46.28958333333333,1.4888013151729151,46.28958333333333,1.4888013151729151,,,,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
2026-03-10 02:00:00,1005.1378000000001,236.493,16.77,49.45,4.354,4953.0154999999995,1.4865000000000002,8.9345,15.368,1735.181,16.856160906,237.70805373540003,6.0,215.18366666666665,16.506138623756506,209.44653846153844,12.003562642089392,209.44653846153844,12.003562642089392,16.77,0.0,16.669384615384615,0.20614903122965017,16.669384615384615,0.20614903122965017,47.6325,2.006169858212411,46.532692307692315,1.6733631496986017,46.532692307692315,1.6733631496986017,,,,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2026-03-10 02:10:00,1013.5164000000001,236.493,16.77,49.45,4.354,4911.9529999999995,1.483,8.999500000000001,15.41,1721.85475,16.996670028,239.68953398520003,6.0,220.511,17.507403828095114,211.37842857142854,13.61076068475169,211.37842857142854,13.61076068475169,16.77,0.0,16.676571428571428,0.19987869947919598,16.676571428571428,0.19987869947919598,48.27583333333334,1.8314923332262851,46.74107142857143,1.7868000819809209,46.74107142857143,1.7868000819809209,,,,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2026-03-10 02:20:00,1014.7134,236.493,16.965,49.45,4.354,4968.477,1.504,9.0105,15.342,1587.2725,17.214612831,239.9726161062,6.0,225.83833333333334,16.506138623756488,213.05273333333335,14.631128105450212,213.05273333333335,14.631128105450212,16.8025,0.07960841664046378,16.695800000000002,0.2065039605292986,16.695800000000002,0.2065039605292986,48.91916666666666,1.3002708051273957,46.92166666666667,1.8584475728285617,46.92166666666667,1.8584475728285617,,,,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2026-03-10 02:30:00,1010.7317999999999,236.493,17.07,49.45,4.354,4898.4529999999995,0.8755,8.962,15.25,1589.1377499999999,17.253191826,239.03099557739998,6.0,231.16566666666665,13.049248356386867,214.51775,15.301600036161794,214.51775,15.301600036161794,16.852500000000003,0.13205112646245115,16.7191875,0.2203464601485592,16.7191875,0.2203464601485592,49.45,0.0,47.079687500000006,1.9034446570625556,47.079687500000006,1.9034446570625556,,,,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2026-03-10 02:40:00,1002.141,236.493,17.07,49.45,4.415,4883.1485,1.4900000000000002,8.9635,15.233,1597.6392499999997,17.10654687,236.999331513,6.0,236.493,0.0,215.8104117647059,15.74521653970986,215.8104117647059,15.74521653970986,16.9025,0.15012494796003326,16.739823529411765,0.22968980040864984,16.739823529411765,0.22968980040864984,49.45,0.0,47.21911764705882,1.9305830039897554,47.21911764705882,1.9305830039897554,,,,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2026-03-10 02:50:00,1010.0826,236.493,17.07,49.45,4.459,4973.3205,1.2795,8.8645,15.237,1659.8865,17.242109982,238.87746432179998,6.0,236.493,0.0,216.95944444444444,16.034143694820244,216.95944444444444,16.034143694820244,16.9525,0.14709690683356716,16.758166666666668,0.23603071833979736,16.758166666666668,0.23603071833979736,49.45,0.0,47.34305555555556,1.9453527873679495,47.34305555555556,1.9453527873679495,,,,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2026-03-10 03:00:00,1008.918,236.493,17.07,49.45,4.459,5005.7735,1.4940000000000002,8.9485,15.181,1609.5535,17.22223026,238.602044574,6.0,236.493,0.0,218.7352222222222,16.343512602344905,217.98752631578947,16.213971490211158,17.0025,0.1213981054218039,16.80511111111111,0.2058531426524024,16.774578947368422,0.24027769022748124,49.45,0.0,47.557500000000005,1.9534737159285032,47.453947368421055,1.9513574897059653,,,,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336
2026-03-10 03:10:00,1008.1366,236.493,17.07,49.45,4.459,4970.5625,1.3315000000000001,8.928,15.141,1459.548,17.208891762,238.41724894380002,6.0,236.493,0.0,220.511,16.445342326485466,218.9128,16.31499409681007,17.0525,0.04286607049874907,16.852055555555555,0.15612079494538944,16.78935,0.2430194436665528,49.45,0.0,47.77194444444445,1.9365791085806,47.55375,1.9510502401203489,,,,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336
2026-03-10 03:20:00,1011.7598,236.493,17.07,49.45,4.459,5014.7029999999995,1.167,8.895,15.208,1394.46325,17.270739786000004,239.27411038140002,6.0,236.493,0.0,222.28677777777776,16.343512602344912,219.74995238095238,16.358098515647203,17.07,0.0,16.880833333333335,0.1448960073334585,16.802714285714284,0.24465529686829818,49.45,0.0,47.9863888888889,1.8939996626774247,47.644047619047626,1.9461485163314318,,,,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336
2026-03-10 03:30:00,1016.5598,236.493,17.07,49.22,4.459,4958.406499999999,1.0445,8.69,15.089,1311.591,17.352675786,240.4092767814,6.0,236.493,0.0,224.06255555555555,16.03414369482026,220.511,16.358098515647203,17.07,0.0,16.8975,0.14860379616717467,16.814863636363636,0.24546540740757555,49.41166666666667,0.09389710680648462,48.18805555555556,1.8154574361891143,47.71568181818182,1.9287377413458162,204.529,16.225,45.59,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336
2026-03-10 03:40:00,1017.9982,236.521,17.07,47.92,4.459,4957.3904999999995,1.636,8.6075,14.996,1612.4769999999999,17.377229274,240.7779522622,6.0,236.49766666666667,0.011430952062362209,225.83988888888888,15.505950633410134,221.20708695652175,16.326931009038816,17.07,0.0,16.914166666666667,0.1502767055644189,16.82595652173913,0.24565154150116383,49.156666666666666,0.612785987655263,48.3175,1.6986224955395217,47.7245652173913,1.8848745515547713,204.529,16.225,45.59,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336
2026-03-10 03:50:00,1012.5952,237.056,17.07,47.92,4.459,5007.6875,1.3865,8.664,14.981,1547.1332499999999,17.285000064,240.0417677312,6.0,236.5915,0.2278330529102113,227.64694444444442,14.75337579105293,221.8674583333333,16.292479929680997,17.07,0.0,16.930833333333332,0.14998284215595228,16.836125,0.24536207716972944,48.90166666666667,0.7655956286883057,48.44694444444444,1.5618156279009134,47.732708333333335,1.8438752782297,204.529,16.552,45.59,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336
2026-03-10 04:00:00,1012.0619999999999,237.056,17.07,47.92,4.459,4966.5315,1.087,8.561,15.017,1528.952,17.27589834,239.91536947199998,6.0,236.68533333333335,0.2873218868534987,229.45399999999998,13.710383630450249,222.475,16.23614393618962,17.07,0.0,16.9475,0.14771046798701148,16.84548,0.24470800967684073,48.64666666666667,0.8004415448155155,48.57638888888889,1.3991907383277626,47.7402,1.8054411279979898,204.529,16.77,45.59,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2026-03-10 04:10:00,1013.1547999999999,237.056,17.07,47.92,4.459,4936.3205,1.0555,8.523,14.969,1526.3114999999998,17.294552435999996,240.17442426879998,6.0,236.7791666666667,0.30342802551025816,231.26105555555554,12.303335776610611,223.03580769230769,16.163075576187186,17.07,0.0,16.964166666666667,0.14336553445856123,16.854115384615383,0.24377355507488283,48.39166666666667,0.7343137385795372,48.70583333333334,1.2002992886580024,47.74711538461539,1.769315219556378,204.529,16.77,45.59,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2026-03-10 04:20:00,1008.3874,237.056,16.2905,47.92,4.459,4907.57,1.4,8.48,14.944,1604.61175,16.4271349397,239.04428349440002,6.0,236.87300000000002,0.2836406176808745,233.06811111111108,10.385299853434761,223.55507407407407,16.077230530559792,16.940083333333334,0.31822954241658374,16.937527777777778,0.21042886685656198,16.83324074074074,0.2624980355373526,48.13666666666666,0.5307227776030183,48.835277777777776,0.9424537314625452,47.75351851851852,1.7352753133452343,204.529,16.77,45.59,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2026-03-10 04:30:00,1005.2322,237.056,15.915,47.92,4.459,4835.5625,1.2494999999999998,8.399,14.876,1502.57825,15.998270462999999,238.2963244032,6.0,236.9668333333333,0.21841283539448214,234.87516666666664,7.577715007526644,224.03725,15.981674759560425,16.747583333333335,0.5134063124530752,16.890027777777778,0.31897355930538956,16.80044642857143,0.31059015925139993,47.92,0.0,48.92722222222223,0.7348053408140479,47.75946428571429,1.703128025942651,204.529,16.77,45.59,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2026-03-10 04:40:00,1002.4721999999999,237.056,15.915,47.92,3.977,4888.953,1.214,8.457,14.872,1569.3825000000002,15.954345062999998,237.6420498432,6.0,237.056,0.0,236.6822222222222,0.27204099076051386,224.4861724137931,15.878803821152298,16.555083333333332,0.5804886232017479,16.84252777777778,0.3929758438999658,16.76991379310345,0.34649103443785256,47.92,0.0,48.84222222222222,0.7588734340381474,47.76500000000001,1.672704183564528,204.529,16.77,45.59,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2026-03-10 04:50:00,1000.5600000000001,237.056,15.915,47.92,3.656,4886.1565,1.0755,8.506,14.9,1573.9492500000001,15.923912399999999,237.18875136000003,6.0,237.056,0.0,236.71349999999998,0.2812161090698143,224.90516666666664,15.77050212631457,16.362583333333333,0.5669330133857592,16.795027777777776,0.44981991403823063,16.741416666666666,0.3745380622279549,47.92,0.0,48.757222222222225,0.7723593003834758,47.77016666666667,1.6438550587028582,204.529,16.77,45.59,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2026-03-10 05:00:00,997.5214,237.056,15.915,47.92,3.656,4904.7970000000005,0.9844999999999999,8.299,14.843,1631.33975,15.875553080999998,236.4684329984,6.0,237.056,0.0,236.74477777777778,0.2865083009902347,225.29712903225808,15.658260294472779,16.170083333333334,0.4657510511707455,16.74752777777778,0.4954472273263434,16.71475806451613,0.3970313772438257,47.92,0.0,48.672222222222224,0.7758149836712703,47.775000000000006,1.6164492981016518,204.529,16.77,46.265,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2026-03-10 05:10:00,994.5486000000001,237.056,15.915,47.92,3.656,4887.5625,1.4795,8.307500000000001,14.783,1711.0765000000001,15.828240969000001,235.76371292160005,6.0,237.056,0.0,236.77605555555556,0.288131602330947,225.66459375,15.543262765915099,15.977583333333333,0.15329723306913107,16.700027777777777,0.5327476080555323,16.689765625,0.41537555848496116,47.92,0.0,48.58722222222222,0.7693756487495919,47.779531250000005,1.5903703967918685,204.529,16.77,49.45,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2026-03-10 05:20:00,995.7226,237.056,15.915,47.92,3.656,4969.273499999999,1.716,8.568,14.751,1588.8485,15.846925179,236.04201666560004,6.0,237.056,0.0,236.80733333333333,0.28614846002875804,226.00978787878788,15.426453972716766,15.915,0.0,16.641694444444443,0.5588722136086152,16.666287878787877,0.4305053177354312,47.92,0.0,48.50222222222223,0.7527874128124471,47.78378787878788,1.5655146070377226,236.493,16.77,49.45,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2026-03-10 05:30:00,1005.6088,237.056,15.915,47.117,3.656,4950.203,1.464,8.6445,14.791,1436.19175,16.004264052,238.38559969279999,6.0,237.056,0.0,236.83861111111113,0.2804823867578913,226.33467647058822,15.308588838475302,15.915,0.0,16.577527777777775,0.5729323559349107,16.64419117647059,0.44307968389830527,47.78616666666667,0.3278233772424945,48.37261111111111,0.7803425446097868,47.76417647058823,1.5458476241225518,236.493,16.77,49.45,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2026-03-10 05:40:00,1007.997,234.086,15.915,43.33,3.656,4948.9065,1.3455,8.542,14.82,1360.23425,16.042272254999997,235.95798574199998,6.0,236.561,1.2124974226769956,236.7048888888889,0.7059806603660029,226.55614285714287,15.138587044842927,15.915,0.0,16.51336111111111,0.57917674345868,16.62335714285714,0.45358295128617715,47.021166666666666,1.8366001651602617,48.032611111111116,1.3834791241388817,47.63748571428572,1.6973892820416618,236.493,16.77,49.45,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2026-03-10 05:50:00,1000.1458,177.649,15.915,43.33,3.656,4934.773499999999,1.2235,8.345,14.792,1347.1779999999999,15.917320407,177.6749012242,6.0,226.65983333333335,24.03967911946131,233.4357777777778,13.940331857622837,225.1976111111111,17.002082661129293,15.915,0.0,16.449194444444444,0.577858804728817,16.603680555555556,0.4623822344705381,46.256166666666665,2.2878356948580736,47.69261111111111,1.724614300917192,47.517833333333336,1.8204980872591652,236.493,16.965,49.45,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
